,id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
67,1396,Breaking Bad,469.533,tt0903747,9.5,2202516,tvSeries,2008,drama crime new-mexico drug-dealer narcissism psychopath terminal-illness outlaw cancer tragedy drugs criminal meth-lab high-school-teacher dea-agent neo-western narcissist albuquerque new-mexico criminal-lawyer fall-from-grace cartel mexican-cartel male-egos crystal-meth methamphetamine thriller black-comedy iii crime sense years cost walter dangerous family chemistry live unrelenting future financial teacher white prognosis drugs mexico diagnosed desire cancer enters stage left filled fearlessness secure
68,1434,Family Guy,463.777,tt0182576,8.1,368639,tvSeries,1999,animation comedy rhode-island middle-class satire parody dysfunctional-family adult-humor social-satire boy-genius new-england adult-animation satirical absurd baby kid unpopular twisted oldest whilst sorting animated sipping check incorrect killing brian pet dysfunctional issues freakin movies dog martinis griffin kids chris bent politically family life series member sick bumbling mother suffering adventures middle featuring girl sadistic meg final lois town sweet bright peter long brilliant talking stewie passion
69,76479,The Boys,459.616,tt1190634,8.7,719756,tvSeries,2019,sci-fi-&-fantasy action-&-adventure superhero based-on-comic revenge gore superhero-team sign-languages corrupt blue fight vigilantes informally set dirty grit collar group boys willingness superheroes
70,75269,Garden Rescue,453.901,tt6354184,8.1,194,tvSeries,2016,reality  charlie gardens space brothers garden suit budget dimmock built compete owner design owners country rich chooses
71,30810,Pointless,451.717,tt1509677,7.2,3087,tvSeries,2009,reality competition game-show jackpot answers score depths quiz contestants knowledge general points plumbing
72,60574,Peaky Blinders,447.814,tt2442560,8.8,671307,tvSeries,2013,drama crime england gypsy corruption gangster outlaw drugs criminal period-drama historical british-history protection-racket illegal-gambling historical-drama bookmaker 1920s 1910s birmingham modern-history zohaib fierce tommy peaks gangster sew blades caps 1919 shelby set centered birmingham razor gang boss england family epic
73,44217,Vikings,443.571,tt2306299,8.5,596770,tvSeries,2013,action-&-adventure drama war-&-politics scandinavia viking historical-fiction middle-ages-(476-1453) norse-mythology historical-drama warrior 8th-century intense sagas traditions direct odin series brothers warrior tribes lothbrok age rises king embodies hero ragnar devotion tells viking legend greatest warriors band fearless norse gods god adventures descendant war family
74,34307,Shameless,439.757,tt1586680,8.5,295848,tvSeries,2011,drama comedy sibling-relationship chicago illinois single-parent self-destruction big-family remake dysfunctional-family drugs single-father alcoholic-father single frank money ways spending passed apologies spite floor smart dad bar grow chicagoan industrious independent kids gallagher family
75,119316,Wagle Ki Duniya,429.803,tt13853152,8.9,2642,tvSeries,2021,comedy drama family  roller critically bring acclaimed coaster story heart melt laughter live share generations happiness sorrows lives emotions generation follow ride family
76,71789,SEAL Team,428.183,tt6473344,7.8,34431,tvSeries,2017,action-&-adventure drama war-&-politics u.s.-navy-seal soldier special-forces military warfield missions dangerous professional drama stakes military lives elite train navy execute high unit seals country personal plan
77,1402,The Walking Dead,427.534,tt1520211,8.1,1104039,tvSeries,2010,action-&-adventure drama sci-fi-&-fantasy post-apocalyptic-future gore undead survival zombie based-on-graphic-novel horror awakens rick eating flesh dominated coma sets zombies survivors grimes post deputy sheriff apocalyptic encounters family
78,498,Late Show with David Letterman,422.777,tt0106053,7.0,14387,tvSeries,1993,talk comedy late-night-show programs leads longest alan august writer late thursday 11 time johnny hosted contract ranks viewers week recorded greatest orchestra major announcer pants pacific ranked cbs 30 night paul 35 david friday matt worldwide 7 american kalter number thursdays shaffer 271 television monday episodes carson tenured 2014 average 6 debuted produced studios episode house host talk guide 2009 director production eastern 1993 wednesday roberts leader 3 cumulative 00 airs revenue company head band 4 markets incorporated 2002 continue letterman music 50 surpass
79,693,Desperate Housewives,421.702,tt0410975,7.6,142055,tvSeries,2004,mystery drama comedy soap housewife female-friendship neighbor neighborhood young alice neighbors suburbs perfect elevated house commenting ended friends lives death loveliest mary day family life
80,1419,Castle,420.025,tt1219024,8.1,176574,tvSeries,2009,drama crime new-york-city police writer novelist criminal-investigation female-detective homicide-detective criminal-consultant police-procedural city homicide rick receives mystery nypd tag killer serial successful novelist team york permission plots richard mayor investigation purposes imitates castle novels
81,44006,Chicago Fire,417.756,tt2261391,8.0,66267,tvSeries,2012,drama chicago illinois fire-brigade paramedic crime-investigation firefighter courageous running view edge men difference actions danger paramedics dangerous squad chicago noblest professions rewarding rescue stressful exhilarating women 51 seat occupation lives firefighters elite firehouse forge headfirst death everyday committed heroes america life
82,59941,The Tonight Show Starring Jimmy Fallon,414.876,tt3444938,7.1,19224,tvSeries,2014,comedy talk new-york-city games celebrity audience late-night-show leno years jay program fallon permanent stepped retirement 42 york jimmy angeles brought replacement
83,112888,True Beauty,413.731,tt13274038,8.0,16612,tvSeries,2020,comedy drama beauty high-school romance insecurity makeover hidden-identity beauty-standards based-on-webcomic-or-webtoon secret popular-boy comforting kyung complex men student appearance face excellent lee bare hides skills lim school seo hide wears 2 involved high pretty han su jun
84,231100,Boundless Love,412.668,tt29258720,7.0,1575,tvSeries,2023,drama crime soap  istanbul powerful brahim young feud revenge change zeynep years yasemin loves completely start marry father family embarks returns plans events blood journey man halil handsome child region exiled homeland lost leto encounters girl life karadeniz
85,120089,SPY x FAMILY,412.439,tt13706018,8.3,42869,tvSeries,2022,animation comedy action-&-adventure spy assassin secret-mission secret-organization espionage slice-of-life mind-reading based-on-manga family shounen anime absurd assassin politician profile daughter secret twilight undergo father infiltrate perfect pretend peace cover husband school identity telepath man wife elite close loving deadly high posing adopted agent difficult stake family mission
86,1695,Monk,407.116,tt0312172,8.1,94108,tvSeries,2002,comedy crime drama mystery california san-francisco california obsessive-compulsive-disorder-(ocd) private-investigator private-detective mental-disorders criminal-consultant police-procedural continues department cases trudy disorder consultant ways private unconventional tragic extreme baffling compulsive francisco monk rising murder developed working wife star solve legendary unsolved police investigate obsessive adrian case san
87,73586,Yellowstone,395.992,tt4236770,8.7,233281,tvSeries,2018,western drama ranch family-drama crime-family cattle-ranch neo-western wildlife-conservation trend exhilarated indian dutton defends states violent contiguous property land largest led reservation developers united john controls constant attack follow national ranch america patriarch family park
88,1911,Bones,391.668,tt0460627,7.8,179154,tvSeries,2005,crime drama washington-dc usa fbi forensic-science murder-investigation crime-investigation forensic-archaeology seeley booth useless destroyed investigations identification medico methods brennan temperance lab decomposed burned murder assist badly remains jeffersonian colleagues special agent legal standard
89,2261,The Tonight Show Starring Johnny Carson,391.335,tt0055708,8.5,4315,tvSeries,1962,talk talk-show late-night-show originally city ranked burbank 12 carson late aired 1962 based permanently years time johnny hosted night 1972 occasional franchise 1992 talk guide greatest york moved trips 2002 starring california 50 tonight
90,2691,Two and a Half Men,388.749,tt0369179,7.1,283834,tvSeries,2003,comedy sibling-relationship california composer roommate evil-mother malibu advertising drinking beach-house casual-sex sitcom living-with-sibling rich-brother writer abrupt 10 hedonistic brother year house free wheeling nephew jingle beach halt life
91,58841,Chicago P.D.,388.672,tt2805096,8.1,46525,tvSeries,2014,crime drama chicago illinois police spin-off crime-investigation city protect organized distinctly street department groups combats men profile crime crimes patrol drug chicago trafficking drama intelligence beat riveting women district offenses head police high unit 21 cops community serve major uniformed murders
92,245285,Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,387.026,tt32469108,6.7,295,tvSeries,2024,animation sci-fi-&-fantasy action-&-adventure magic revenge goddess anime another-world isekai based-on-light-novel low background useless revenge change cast revealed goddess skills failure classmates summoned seeks school deemed turns touka nature ancient acquire faded rank true vicius ruins
93,57243,Doctor Who,382.236,tt0436992,8.5,251309,tvSeries,2005,action-&-adventure drama sci-fi-&-fantasy time-travel time-machine alien travel living saves hearts time mastered civilization lord year alien good doctor gifted hobby 2 planets 900
94,22980,Watch What Happens Live with Andy Cohen,371.783,tt2057880,5.7,916,tvSeries,2009,talk comedy talk-show live culture network topics cohen executive pop reality personalities andy celebrities discusses bravo
95,1433,American Dad!,368.607,tt0397306,7.4,137842,tvSeries,2005,animation comedy central-intelligence-agency-(cia) social-satire adult-animation direct absurd witty hilarious domestic-comedy characters jeff smith college antics half pet masquerades series boyfriend hayley brazenness focuses motley francine housemates daughter main body housewife father aged additional turned roger husband school eccentric alien breadwinner crew man notably stan son high fischer goldfish including family klaus zany steve shocking
96,4607,Lost,366.864,tt0411008,8.3,609607,tvSeries,2004,mystery action-&-adventure drama island airplane-crash uncharted alive plane horrific secrets work holds stay stripped island survivors crash
97,60625,Rick and Morty,360.713,tt2861424,9.1,619388,tvSeries,2013,animation comedy sci-fi-&-fantasy action-&-adventure time-travel grandfather alcoholism alien dysfunctional-family mad-scientist scientist adult-animation father-figure machinist multiple-dimensions spaceship space young scientifically time universes dangerous rick mentally unbalanced compounded outlandish school reconnected events man distress grandson gifted involving unstable spends adventures alternate family morty life
98,30984,Bleach,356.177,tt0434665,8.2,72186,tvSeries,2004,action-&-adventure animation sci-fi-&-fantasy martial-arts swordplay based-on-manga fantasy-world shounen anime shinigami parallel-universe living battles reaper protect kurosaki hollows evil rukia remember changed ichigo discovers spiritual long energy newfound forever wealth life ghosts dead finds meets spirits calling true soul
99,1447,Psych,355.776,tt0491738,8.4,111403,tvSeries,2006,comedy drama mystery crime california detective con-man police psychic-power interracial-friendship detective-agency criminal-consultant police-procedural suspenseful hilarious adoring audacious comforting gentle solving spent psychic lead solved efforts crime dragging years powers story dislike falsely father perpetuate eye choice cover spencer dad officer keen shawn friend police frequent lasting tips developing ride childhood accused abilities
100,71728,Young Sheldon,350.864,tt6226232,7.7,117584,tvSeries,2017,comedy family drama prequel school sibling family knowledge philosophical satirical kid-genius dramatic romantic comforting theory genius big sheldon child cooper bang early life
101,34860,Ninja Boy Rantaro,342.409,tt0306365,7.1,120,tvSeries,1993,comedy action-&-adventure kids  shinbei playing series money gakuen ninja called kirimaru grade learn rantarō food interesting nintamas adventures everyday heroes apprentices
102,40075,Gravity Falls,338.745,tt1865718,8.9,142737,tvSeries,2012,animation comedy mystery sci-fi-&-fantasy kids small-town symbolism oregon usa magic time-travel uncle coming-of-age summer twins supernatural-phenomena tourist-trap dreamscape children-cartoon aliens dreams gnomes journal tourist uncle twin sister adventure mysterious trap town brother spend unexpected pines dipper stan helping falls great oregon mabel gravity summer
103,1668,Friends,333.319,tt0108778,8.9,1107413,tvSeries,1994,comedy new-york-city roommate friendship cafe group-of-friends manhattan new-york-city sitcom young-adult searching-for-love relaxed apartment best-friends reminiscent city companionship support struggling young survive perfect people pressures york real comfort antidote life
104,32692,Blue Bloods,332.518,tt1595859,7.7,49033,tvSeries,2010,crime drama new-york-city police police-station police-commissioner police-procedural reagan henry city stint department plagued frank unapologetically diplomatically heads bold generational multi chief father drama enforcement law force york dedicated dealing police runs politics cops brood family commissioner
105,14981,The Late Late Show with Craig Ferguson,330.21,tt0437729,8.4,11568,tvSeries,2005,comedy talk talk-show late-night matter late deaths tom hosted tutu 1995 directly franchise weekdays 37 ratings january studio majority earned 2005 craig highest inception pants cbs lineup night david parents friday comedy taped worldwide american angeles california addressed focus ferguson airing subject city achieved bob television monday 12 episodes desmond interviews live produced studios host talk barker 2009 snyder production difficult kilborn audience regular peabody undertaken 3 scottish company incorporated comedian letterman award
106,4604,Smallville,328.118,tt0279600,7.5,140296,tvSeries,2001,sci-fi-&-fantasy action-&-adventure drama kansas usa superhero based-on-comic alien super-power origin-story destiny arrival origins refugee clark tumultuous kal years steps embracing final steel hero man greatest teen earth krypton kent
107,65334,Miraculous: Tales of Ladybug & Cat Noir,326.135,tt2580046,7.5,16097,tvSeries,2015,action-&-adventure animation kids paris france france magic cartoon superhero romance interracial-romance female-protagonist school-life superhero-kids teen-superhero western-animation love-square sentimental hilarious romantic brisk entrusted powerful transform jewels cat noir teenagers hero classmates ladybug marinette adrien identity parisian order true superheroes
108,1620,CSI: Miami,325.839,tt0313043,6.5,61839,tvSeries,2002,drama mystery crime miami florida detective police spin-off forensic-science physical subject department series matter gritty crime investigators drama original mixes scene franchise evidence deduction csis working miami solve dade las scientists police vein grisly character vegas driven cops counterparts murders csi
109,223397,City of God: The Fight Rages On,323.567,tt27535062,7.5,408,tvSeries,2024,drama crime photographer rio-de-janeiro based-on-movie favela militias city god traffickers community impacted recounts conflicts buscapé years police
110,4419,Real Time with Bill Maher,323.04,tt0350448,7.4,14492,tvSeries,2003,comedy talk politics usa-politics discuss surrounds maher panel actors musicians week politicians include guests comedians
111,4656,WWE Raw,322.869,tt0185103,7.7,9986,tvSeries,1993,reality wrestling superstar sports-entertainment year regularly round program live featuring superstars scheduled wwe biggest
